model,rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_train_honest,n_test_honest,n_train_naive,n_test_naive,test_start,test_end,test_target_std,bias,rmse_bias,record,record_len,record_days,missing_frac,condition,horizon,replicate,origin,nominal_gap_len,n_gaps_placed,mean_gap_len,achieved_missing_pct,intact_rp,rp_h_over_intact
Ridge,0.906814371753821,0.8740900472837096,0.8713674368967627,0.8370686573968565,3.608712597576169,3.9362016581725667,-0.03272432447011131,-0.03429877949990612,2256,830,2782,952,2024-01-09 02:40:00,2024-01-15 23:20:00,2.904763722472512,0.3274890605963976,-0.001574455029794808,HKWA,4007,27.8,0.05,MEDIUM,1,8,3,18,11,18.2,4.991,0.6229,1.456
Ridge,1.0363711475892965,0.9866552259242017,0.968740421473061,0.9292039483945791,4.797115568176425,4.081224670935379,-0.04971592166509475,-0.03953647307848196,2622,540,3019,715,2024-01-10 12:00:00,2024-01-15 23:20:00,2.5750924316144506,-0.7158908972410458,0.010179448586612794,HKWA,4007,27.8,0.05,MEDIUM,1,9,4,18,11,18.2,4.991,0.6229,1.664
Ridge,0.5987672303811757,0.5859691256817559,0.5742956491355595,0.5670924125218187,2.137409004709989,1.2542732344539287,-0.012798104699419888,-0.007203236613740782,1870,785,2217,948,2024-01-04 22:30:00,2024-01-11 21:20:00,2.8503994932750976,-0.8831357702560605,0.0055948680856791055,HKWA,4007,27.8,0.05,MEDIUM,1,10,0,18,11,18.2,4.991,0.6229,0.961
Ridge,0.5821511166259431,0.5754117982963705,0.6047326412295114,0.5920344030580035,1.1576578893522815,2.0998102807367136,-0.006739318329572641,-0.012698238171507947,2121,788,2436,950,2024-01-06 07:50:00,2024-01-13 06:40:00,2.6544207220354443,0.9421523913844321,-0.005958919841935306,HKWA,4007,27.8,0.05,MEDIUM,1,11,1,18,11,18.2,4.991,0.6229,0.935
Ridge,0.6498577665830587,0.6339661665143983,0.6302709405942724,0.6165056609036018,2.445396652288734,2.1840257584605616,-0.015891600068660416,-0.01376527969067054,2247,685,2618,929,2024-01-07 17:10:00,2024-01-14 16:00:00,2.71634340574412,-0.26137089382817225,0.0021263203779898765,HKWA,4007,27.8,0.05,MEDIUM,1,12,2,18,11,18.2,4.991,0.6229,1.043
Ridge,0.9320843491761546,0.8842325593208108,0.8758720057701372,0.8421516090122649,5.133847585536522,3.849922880937684,-0.047851789855343774,-0.033720396757872306,2392,671,2819,915,2024-01-09 02:40:00,2024-01-15 23:20:00,3.0186733459998494,-1.2839247045988378,0.014131393097471467,HKWA,4007,27.8,0.05,MEDIUM,1,13,3,18,11,18.2,4.991,0.6229,1.496
Ridge,0.9994062010899621,0.956844233873196,0.9548903343665526,0.9134682883549571,4.25872554826533,4.3378851498244275,-0.042561967216766194,-0.04142204601159549,2508,628,2984,750,2024-01-10 12:00:00,2024-01-15 23:20:00,2.972971492954618,0.0791596015590974,0.001139921205170702,HKWA,4007,27.8,0.05,MEDIUM,1,14,4,18,11,18.2,4.991,0.6229,1.605
Ridge,0.6162270706601416,0.6066717385282544,0.5932408585429073,0.586443218665704,1.5506186902258134,1.145848229992008,-0.009555332131887195,-0.0067976398772032764,1835,765,2217,948,2024-01-04 22:30:00,2024-01-11 21:20:00,2.800317525836235,-0.40477046023380536,0.002757692254683919,HKWA,4007,27.8,0.05,MEDIUM,1,15,0,18,11,18.2,4.991,0.6229,0.989
Ridge,0.6147259989324031,0.5975577837055068,0.6096271124596442,0.5955249938364572,2.792823999100802,2.3132367860559278,-0.017168215226896266,-0.014102118623186999,2073,651,2436,911,2024-01-06 07:50:00,2024-01-13 06:40:00,2.7228769824679806,-0.47958721304487417,0.0030660966037092674,HKWA,4007,27.8,0.05,MEDIUM,1,16,1,18,11,18.2,4.991,0.6229,0.987
Ridge,0.6066928064763246,0.5893751994831433,0.625450612355552,0.6102574269950045,2.8544276128411816,2.4291582837096315,-0.0173176069931813,-0.015193185360547479,2070,923,2563,984,2024-01-07 17:10:00,2024-01-14 16:00:00,2.6943942002794405,-0.42526932913155013,0.0021244216326338217,HKWA,4007,27.8,0.05,MEDIUM,1,17,2,18,11,18.2,4.991,0.6229,0.974
